,id,intercept,mse
0,001519c8,-4.096164262330632,27.569192697322443
0,0022f953,14.192667295937753,94.87489799470039
0,0042269b,7.623100671486327,194.62971660751407
0,0059420b,-3.435900445531871,11.615939243255022
0,0075873a,-6.767207574690474,175.73927270766202
0,0081af50,-7.502919790189338,22.857648865146015
0,0093f095,-5.63690813435862,8.958696747344153
0,009e23ab,-7.26046102673962,43.1778831610611
0,00e048f1,-1.0772010324061227,7.855381485213678
0,00e1f05a,8.904397874211554,784.8891667926592
0,00e713bd,-16.12480942813562,52.02932872775479
0,00f0737e,-18.07018119369826,29.81336904903133
0,00f8e84c,-9.59648550944496,68.67469604307738
0,00fc9a6a,-0.13657493109550956,44.54063987960575
0,0144e4d5,1.1197413502897575,39.89781294729709
0,014e7ae9,1.818599222306716,27.108318963608333
0,015aa732,-7.780159708398401,145.4957180232472
0,0178a105,17.892967088321825,151.25219068598358
0,0182aa1c,-10.990805374280257,38.713976040068715
0,0190ff4c,1.9139783140608984,5.983222722220794
0,01963e20,-23.520767999033154,193.6404611972613
0,019737b6,-17.468522083183814,64.14672138982714
0,01992d32,6.6141942089284385,19.088741456976326
0,01c359fc,14.145649103553467,47.370736152030545
0,01d0ba4b,-1.609694556003305,1.9813644876681036
0,01d602a7,-15.970538181565189,28.3362980589692
0,0249a095,36.74738219616319,1748.6257502908124
0,0262bf61,1.590361740164127,49.00018055769056
0,026be946,15.237656231512972,47.99978816297028
0,0294b4f5,4.5330640352785,44.017994085878776
0,02a41d1a,2.8214357517850317,42.37398154357551
0,02cf6a52,-1.897005320858426,5.589148174934325
0,02d3c9fc,0.509134564543416,104.10433627044533
0,02e86b6a,-27.873157350035143,403.06001908407916
0,031c0c58,11.52962628315322,76.88635129518828
0,034d61db,4.598946453785231,7.940653387243329
0,035f09fc,9.926507999474012,103.08365109653153
0,036cfd42,1.6062751336831411,409.9518341307397
0,0395b217,0.4306572144007248,19.814216942375023
0,03971ddf,88.46960413765669,1064.5347599973095
0,040c429b,-45.552372515110505,661.8626163901458
0,0417d421,2.606415523020871,36.1863935624721
0,0432f117,-2.4963988459502673,22.48031266562237
0,0445b534,-7.830115019846403,21.413633376469765
0,044b274d,-6.6183730705147354,28.6704282021969
0,044c5c54,-1.4067156911342238,3.9196612289341273
0,048fd254,-4.810441036347214,31.430358540665797
0,04b88b3e,-11.557419766459958,56.534495499903585
0,04c5f885,0.3442576261816299,4.5405354316090065
0,04e37b6b,1.6422353575361797,6.756460834623115
0,04e63aec,-21.777583840311507,244.1275258849672
0,04f83ccb,-10.73877904373893,190.4190672288653
0,052a7811,-7.350076278232166,23.22939340039287
0,052b25e1,-8.91286205524841,74.39567901383053
0,052cf3a6,5.683614296909113,14.603755685604051
0,053be4e5,25.235784848462743,359.32841018823274
0,05624ab0,5.7815109181935895,75.58660418974556
0,056c41fc,-4.225905362442475,12.734598996218748
0,05b35fa0,1.546752376698791,14.948702813547575
0,05f425a4,1.4292631319829923,12.415429180694238
0,05f8ca37,3.324673921978814,32.384554670416
0,06336d82,9.404492768017462,280.39936637464115
0,064a82e9,-29.44168141134091,163.7137251912561
